,Year,PADK,CYAZ,KACV,PAHO,KLGB,KNUC,KNTD,KNZY,PACD,PANT,KMRY,KLAX,KAST,KSAN,KNSI,KSFO,KSIT,PYAK,KOAK,KOTH,PADQ,KVBG
0,1950,85.83333333333333,,63.333333333333336,10.833333333333334,38.333333333333336,,42.5,44.166666666666664,79.16666666666667,40.833333333333336,50.42016806722689,36.97478991596638,45.378151260504204,47.5,61.607142857142854,31.666666666666668,30.0,57.5,30.0,42.5,57.5,
1,1951,81.66666666666667,,56.36363636363637,9.649122807017545,44.166666666666664,,57.6271186440678,41.1764705882353,73.94957983193277,30.476190476190474,72.88135593220339,41.73913043478261,50.45871559633027,38.65546218487395,84.68468468468468,36.75213675213675,56.52173913043478,84.34782608695652,37.06896551724138,42.34234234234234,72.41379310344827,
2,1952,89.07563025210084,,46.55172413793103,16.363636363636363,30.833333333333332,57.608695652173914,26.050420168067227,33.898305084745765,66.94915254237289,39.09090909090909,43.333333333333336,29.565217391304348,48.598130841121495,32.5,29.62962962962963,31.57894736842105,41.5929203539823,59.82905982905983,31.858407079646017,37.83783783783784,42.608695652173914,
3,1953,86.66666666666667,,23.68421052631579,7.8431372549019605,27.35042735042735,,32.773109243697476,34.74576271186441,58.035714285714285,38.73873873873874,30.252100840336134,26.724137931034484,44.44444444444444,28.8135593220339,19.82758620689655,17.431192660550458,45.689655172413794,61.46788990825688,13.08411214953271,30.508474576271187,29.906542056074766,
4,1954,93.33333333333333,,37.16814159292036,7.894736842105263,39.83050847457627,,50.0,50.427350427350426,,54.310344827586206,27.522935779816514,41.07142857142857,37.06896551724138,50.0,35.294117647058826,21.296296296296298,38.05309734513274,50.0,20.560747663551403,39.44954128440367,69.36936936936937,
5,1955,94.16666666666667,,50.450450450450454,30.275229357798164,44.34782608695652,,46.846846846846844,45.76271186440678,,44.03669724770642,46.902654867256636,43.75,56.52173913043478,40.67796610169491,,33.6283185840708,37.27272727272727,65.51724137931035,37.16814159292036,42.857142857142854,45.794392523364486,
6,1956,90.83333333333333,,28.07017543859649,14.678899082568808,28.571428571428573,,41.5929203539823,35.59322033898305,77.57009345794393,45.689655172413794,24.369747899159663,28.571428571428573,44.44444444444444,33.333333333333336,,14.40677966101695,35.042735042735046,47.36842105263158,12.605042016806722,28.448275862068964,45.6140350877193,
7,1957,93.33333333333333,,37.61467889908257,11.34020618556701,39.44954128440367,,35.45454545454545,50.450450450450454,72.16494845360825,43.85964912280702,32.71028037383178,37.5,42.15686274509804,41.5929203539823,36.93693693693694,14.423076923076923,57.01754385964912,58.71559633027523,18.26923076923077,33.0188679245283,45.21739130434783,
8,1958,87.82608695652173,,45.714285714285715,14.150943396226415,21.62162162162162,,15.178571428571429,26.08695652173913,83.1858407079646,38.38383838383838,31.57894736842105,21.238938053097346,60.0,26.956521739130434,19.327731092436974,31.304347826086957,47.41379310344828,72.89719626168224,32.743362831858406,37.62376237623762,70.79646017699115,20.869565217391305
9,1959,94.87179487179488,,45.09803921568628,15.151515151515152,32.17391304347826,,37.06896551724138,36.666666666666664,80.0,37.03703703703704,28.82882882882883,31.896551724137932,46.846846846846844,35.59322033898305,34.18803418803419,13.636363636363637,35.13513513513514,55.26315789473684,13.88888888888889,35.23809523809524,44.76190476190476,44.73684210526316
