,Year,PADK,CYAZ,KACV,PAHO,KLGB,KNUC,KNTD,KNZY,PACD,PANT,KMRY,KLAX,KAST,KSAN,KNSI,KSFO,KSIT,PYAK,KOAK,KOTH,PADQ,KVBG
0,1950,85.06451612903227,,51.52596832976117,13.459218463152373,36.81312636235829,,50.58085421155887,45.45387896560917,74.37634408602152,43.82809252733351,41.31744562498485,38.49710852082769,42.29150191327782,42.87883556254917,57.96756800257524,20.333333333333332,27.446236559139784,59.273109243697476,26.161290322580648,32.2005542953145,56.55913978494624,
1,1951,85.21557828481511,,60.2333749464309,9.71884742464847,31.862310916712225,,41.87701190710157,36.56729447310782,74.11870940076355,38.10691532612757,56.0332604337525,31.535356300814918,53.2132865604058,34.04938380785692,56.20615578647572,30.709030298473113,45.665081987325195,67.47790938108793,35.07990170174069,38.980177646131985,56.41444855968748,
2,1952,84.63143688712066,,54.00692602416741,13.091643100379386,25.45165652467884,,37.639726435259455,31.54107862747162,66.62030820986715,37.222748439313655,37.986208526968056,27.930026583346983,47.25347622810713,26.659898580951214,34.39954600416731,20.999377540459868,45.7944642625687,62.21795209714212,26.160755832132935,39.01271413962196,46.989739347935426,
3,1953,83.67599930299859,,45.17010230569552,12.360182840485052,23.57927270928511,,31.335387779281877,31.027225768390302,62.96017378462864,36.92416030900577,38.787494450133025,27.477172777878913,40.162580950387316,28.126770448546758,32.453691099164956,24.45828536886611,43.48425974888242,57.994609273591756,21.899845712929825,33.935748566521006,40.11459075086181,
4,1954,82.82573782608002,,45.36200297423146,13.985376284748572,34.190855225113104,,43.93632609248058,42.084732229722476,,39.872500724427695,34.166737044253566,35.01591054415564,37.370647166595305,39.28903526308774,38.00774170037104,20.797185779183984,40.80729895053575,50.23811417126985,23.00477015228617,33.976815623330005,50.279141469763,
5,1955,83.49370574350905,,49.65819435000409,20.584591995933344,31.46685288801806,,41.03850497987934,37.7884629708156,,43.31519627491321,42.81900629167207,32.42039813843452,43.361064325618706,33.127462688957046,,19.434202741596955,36.58682357777892,68.11872067134912,24.212979672935838,37.42475979764115,52.43555004285339,
6,1956,86.86673057881038,,47.76365606322624,23.06937022817873,25.41265427194237,,38.71687479480262,28.314237026952924,81.11603136342003,43.85507292809524,40.05393708139881,26.239074945274638,43.905225117859935,27.021174767707898,,21.477214362422377,46.89446132978162,56.5980581914518,23.683902733929045,36.21621210694037,52.87033381393419,
7,1957,84.71254770258867,,44.83553546083725,16.059250028322193,24.970545687985457,,25.846788709588672,35.55184817772475,70.89831618829315,39.11340852130326,34.19027398261915,23.257163391868794,35.460668284027534,29.22950220599849,,21.58125269182865,43.43116759377321,52.78932848467806,24.796310652242855,29.601370369486915,46.58582555321686,
8,1958,73.99064834886482,,52.536632549352056,13.981630139586395,26.884877748957393,,36.12519626599574,32.523328666710576,75.46478516593126,40.08497601616868,39.37493715101722,28.326642718682308,47.25379432569936,29.406942124931753,37.46415713959128,23.610458471835255,39.75150683191906,66.7011885618933,30.490681088483957,33.25551886908013,53.637236190990734,41.84277989040066
9,1959,86.65408708311547,,45.19849814596064,15.902167660375062,24.272898359186275,,32.60945627272645,32.732255667038274,71.42623425785415,45.132880529432256,32.34089083227014,25.57109787863789,42.80235073560259,31.40468703778773,39.15644335715348,18.07017771161805,34.679271600908464,55.45651359264872,20.57878346552817,36.100295343286,41.88070890011158,43.70944223983183
10,1960,88.93016831087365,40.95323490773505,55.350679709605856,12.377290887022074,23.314542266617078,53.03081788388706,34.09242687531533,29.645113340765512,72.16849729821932,46.88848863951679,40.487036165154606,24.823701636141212,43.27222658779063,27.570471239101483,30.50619808099169,17.315864954591945,45.39518712212882,64.20143709657776,27.137418843170103,37.60679715706813,41.62136018568819,46.217243101813935
11,1961,89.7286506235474,40.36469538016614,49.85849864694385,15.48634113642593,29.608916785108182,,45.852413993206504,41.00737490170194,78.756715101496,32.19707562506751,36.75887658474647,32.57944028518045,41.97361049683032,36.494399335615086,43.496083741055585,21.76382558708113,46.42852574352415,62.667632728553755,26.61847317676207,44.78155652445669,41.04570537082077,48.53863958415441
12,1962,81.07964959415416,45.28247708622497,52.38719647459934,18.012560376940126,32.78507274269986,,44.942370268312615,40.83887737096963,70.01169458956343,49.53861814260044,49.72765267760745,34.82104271979384,49.24480358049915,37.25648010845397,43.77008893267214,25.659128127966987,52.78084034905625,64.84509141692673,30.804226646313943,40.077531494376174,44.093128445175395,56.50144397847159
13,1963,87.14357318364968,46.037951363301396,52.34711460500407,13.394245716613,30.000931702010284,54.94427885570705,37.060556180905095,39.146886696427245,82.68756655475678,49.46872432201492,40.192189462031436,29.11406188537787,39.5685619536288,36.25187504045286,40.21842936264146,19.958497658665664,41.328988582053185,60.220595788392394,26.04304156526996,37.1694017609161,48.78220078296259,47.129792621952504
14,1964,85.51998308295404,50.21726604173309,47.182727259494705,14.515091905154728,29.65607011411443,67.46951460019002,37.965003455943915,39.25617752464554,77.99276938110322,47.41000718783708,41.15022269825555,30.317472512823223,46.406835058625965,35.262478514117824,39.5358067363415,23.11712179570779,51.05918607812925,56.85025945759863,25.586749348183314,40.126575448455604,43.46021057397145,49.13302974605337
15,1965,91.30884060941449,45.8693377130748,56.867466242242266,20.798650705255437,29.32661398534019,64.90814652815746,45.75196169810651,42.85529019894452,,,43.755104071845544,35.317288127192874,50.50093789776914,36.793469087117785,41.942871323629156,24.189312112782915,,71.81599847279499,29.20677239996354,38.61545144004838,52.409618559302224,49.03958948003877
16,1966,89.04987801572243,48.019442656960045,40.72045034229909,20.221255738497117,23.915626358934887,62.30636881774378,41.059983033637494,39.34675998804358,,,35.72316436126586,28.04815078324257,37.748148508433076,34.81607065130822,40.25302988815035,19.63281388504705,,67.71073590700041,22.55265138834363,30.485697560360755,47.50451354495301,46.8713353063102
17,1967,87.0869782183186,48.3166938317783,59.61559800434482,13.290605624101227,27.999671167996468,64.03765634892117,50.9102771969083,42.46527757874524,,,45.60683760683761,32.64249836143135,42.08963375455129,39.980000112139216,44.00432396496672,20.333049537737516,,70.28882765981506,26.96395709948475,32.949904072498924,52.75649380308964,54.77679708631575
18,1968,84.76773114197049,40.859971106224876,51.219785678802076,12.0723376797121,26.011701621160494,59.780364604858335,40.57891792880481,35.74463258789278,,,40.781134900201515,29.691863550195098,43.151008785973055,33.56312820397237,35.91455890684566,24.606532257736877,,55.94913241702233,27.327498435200475,39.250873176449225,48.17127347869948,43.456491854060104
19,1969,82.26781343382133,39.13582906349023,54.96961393252953,11.516798377236817,34.78375833091857,69.85250729194406,55.68579426344722,48.653888436768504,83.31647040086938,,45.78934475191316,43.17052896598351,46.16002588929656,43.79648123798652,45.01595899379309,21.038944244776353,,63.60502465171358,26.147424622318812,41.07671537007273,54.42731071957809,57.76983357060965
20,1970,84.93925130702775,39.6406640813477,50.98410025489194,11.336091561209262,21.675446166741683,61.46772846670096,40.337221903749594,39.49765248181475,73.66548669135793,,38.708260603915924,28.01989140153956,39.22050978045917,35.6399241439558,34.768943838723665,19.5748590254808,,66.80744969262074,24.288819236527868,33.11097214874834,60.24028460851084,45.592586415705384
21,1971,82.96236559139786,43.415536976744,53.209599103155846,21.944571617744778,25.1554774633436,53.8973820735538,40.55860869043512,39.75644144848826,82.22584391742535,,38.44979019886298,27.094890364264092,40.77980206927575,39.1654996467158,37.7720664784885,22.052414723773715,,67.70905159837966,26.702453498619143,37.74386382905653,60.42371500080098,46.73793674053783
22,1972,88.72232764073371,39.945001943333885,59.68334858802639,12.7634215656447,23.423904413560713,54.92997191445086,33.68996261144665,33.747930981423345,75.73737668447637,,,25.68738222690792,40.090839046726344,33.74465242255129,38.4014033242239,20.92856208554938,,62.6480640149842,27.244560129148617,35.61570061137368,55.04428420758975,42.607855198328835
23,1973,81.24984552036985,42.788090926745056,51.75983107801291,13.750063167402782,39.39704386424848,67.77882684714618,59.86790541352673,50.105544217383354,77.69412484093905,39.748374903948594,42.81899513763322,42.80996368845543,44.880491197393255,48.61580319391312,50.289072515039805,18.899506360613557,,56.23874558020351,25.101995817285676,35.67763459013243,54.42815966306669,56.253696657120315
