	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.008613368502654116	-0.031735359810735005	0.8049781438218684	0.3398753376390097
1	CYAZ	-0.007855002056038568	-0.017012745348805834	0.8947154075720192	-0.3283926405931816
2	KACV	-0.03508658381882464	-0.07374537642769684	0.5352242949936219	-0.4014574167916238
3	PAHO	-0.07234643526675794	-0.2426736588613944	0.038578916467739	0.03820232784197359
4	KLGB	-0.021254949037797493	-0.059532417930168474	0.6168566685273097	-0.05972046165014863
5	KNUC	0.010468815408867536	0.01738730790769377	0.8969264510350219	-0.2615607664243642
6	KNTD	-0.004912113696595791	-0.009591686853747929	0.9358087595800406	-0.3056628650597759
7	KNZY	0.010619107899642032	0.022785682611292976	0.8482548265307237	-0.15053225382722224
8	PACD	-0.07986116348008943	-0.19797401831385372	0.1055913477660194	-0.06568798612646619
9	PANT	-0.1292074124072381	-0.26357021165239586	0.03846417815455806	-0.3051209393031897
10	KMRY	-0.0026421574457925457	-0.006329994901193082	0.9579133597975191	-0.4110769857722806
11	KLAX	-0.004591135212840982	-0.01130478934685061	0.9243751316967581	-0.24503838147770868
12	KAST	-0.013181082864335317	-0.030658688668826376	0.7968026198396535	-0.4084213828524059
13	KSAN	0.05675443309980956	0.1432966049708686	0.2264906312825777	-0.1064533406611011
14	KNSI	-0.0019055311336473133	-0.0034650870957550913	0.9797793366744694	-0.19069123015924086
15	KSFO	-0.0049400080420262706	-0.014362251454648275	0.9040083831939205	-0.2069004535245104
16	KSIT	-0.18079553788380678	-0.3131441252241495	0.011088662639142618	0.08015149980275302
17	PYAK	-0.19984551063255712	-0.34468900357899823	0.0028238699554584915	-0.1669809599499236
18	KOAK	0.013623879796521653	0.036820458456236424	0.7571167606563346	-0.19776137843779137
19	KOTH	0.051884190832830614	0.11743699348121006	0.3293828860335879	-0.3201987926844201
20	PADQ	-0.1339702350923118	-0.24363086220301963	0.03779561084518586	-0.06524131654618497
21	KVBG	0.05354976550274297	0.09068638030873187	0.47249041381351853	-0.2689987552427002
